HKG 香港
MFM 澳门
TSA 台北
PEK 北京
BJS 北京
PKX 北京
TSN 天津
PVG 上海
SHA 上海
CAN 广州
SZX 深圳
NKG 南京
CTU 成都
TFU 成都
CKG 重庆
KMG 昆明
HGH 杭州
XIY 西安
SIA 西安
WUH 武汉
CGO 郑州
CGQ 长春
CSX 长沙
TYN 太原
DLC 大连
FOC 福州
XMN 厦门
HAK 海口
SYX 三亚
HET 呼和浩特
HFE 合肥
HRB 哈尔滨
LHW 兰州
URC 乌鲁木齐
SJW 石家庄
SHE 沈阳
TNA 济南
INC 银川
KWE 贵阳
NNG 南宁
KHN 南昌
XNN 西宁
LXA 拉萨
TAO 青岛
NGB 宁波
SJW 石家庄
RIZ 日照
DSN 鄂尔多斯
XFN 襄阳
YNJ 延吉
YOW 渥太华
YUL 蒙特利尔
YVR 温哥华
YYZ 多伦多
IAD 华盛顿
BOS 波士顿
ORD 芝加哥
JFK 纽约
SFO 旧金山
LAX 洛杉矶
MIA 迈阿密
ATL 亚特兰大
CAE 哥伦比亚
CLE 克利夫兰
CLT 夏洛特
DEN 丹佛
DFW 达拉斯
DTW 底特律
IAH 布什
MCO 奥兰多
MEM 孟菲斯
SEA 西雅图
MEX 墨西哥城
HAV 哈瓦那
BSB 巴西利亚
GRU 圣保罗
RIO 里约热内卢
GIG 里约热内卢
EZE 布宜诺斯艾利斯
LHR 伦敦
LPL 利物浦
MAN 曼彻斯特
BRU 布鲁塞尔
LUX 卢森堡
AMS 阿姆斯特丹
RTM 鹿特丹
CPH 哥本哈根
TXL 泰格尔
MUC 慕尼黑
BRE 不莱梅
FRA 法兰克福
STR 斯图加特
HAM 汉堡
NUE 纽伦堡
CGN 科隆
CDG 戴高乐
MRS 马赛
LYS 里昂
BRN 贝尔普伯尔尼
GVA 日内瓦
ZRH 苏黎世
BSL 巴塞尔
MAD 马德里
BCN 巴塞罗那
VLC 巴伦西亚
SVQ 塞维利亚
LIS 里斯本
OPO 奥波多
FCO 罗马
MXP 米兰
VCE 威尼斯
FLR 佛罗伦萨
TRN 都灵
ATH 雅典
VIE 维也纳
PRG 布拉格
HEL 赫尔辛基
ARN 斯德哥尔摩
OSL 奥斯陆
BEG 贝尔格莱德
BUH 布加勒斯特
ZAG 萨格勒布
BUD 布达佩斯
WAW 华沙
SVO 莫斯科
DME 莫斯科
KBP 基辅
IEV 基辅
CAI 开罗
DKR 达喀尔
JNB 约翰内斯堡
TUN 突尼斯
NBO 内罗毕
CBR 堪培拉
MEL 墨尔本
SYD 悉尼
WLG 惠灵顿
AKL 奥克兰
NRT 东京
HND 东京
ITM 大阪
KIX 大阪
ICN 首尔
PUS 釜山
SIN 新加坡
KUL 吉隆坡
SGN 胡志明市
BKK 曼谷
DEL 德里
THR 德黑兰
RUH 利雅得
AUH 阿布扎比
DXB 迪拜
DOH 多哈
ESB 安卡拉
IST 伊斯坦布尔
END123
